SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,Lan,Long,LowestRate
LH86A,3000 BROADWAY,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,,34.073631,-118.209399,1
93113,3501 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.089107,-118.276463,1
56619,10600 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.052657,-118.43071,1
93258,3500 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.088966,-118.27664,1
82827,10 W WASHINGTON BLVD,Multi-Space,SEASONAL,$1 - FW/$2 - SS,2HR,8A-6P Daily,730A-930A Mon,33.979534,-118.465848,1
56325,10901 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049102,-118.439829,1
56434,10900 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.049129,-118.43847,1
66463,6300 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.5 - $3,15MIN,"TANP 3A-6A | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.10153,-118.327773,1.5
61128,201 S MAIN ST,Multi-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.996329,-118.478016,1
61213,200 S MAIN ST,Multi-Space,FLAT,$1.00 ,1HR,8A-6P Daily,10A-12P Tue,33.996422,-118.477871,1
93257,3500 W SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.089108,-118.276707,1
52226,1000 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.025398,-118.288677,1
56162,10501 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.055042,-118.427982,1
